DEPT[M],CALIPER[,DEN(CDL),RES(16N),RES(64N),RES[OHM],SANG[DEG,SP[MM],GAM(NAT)
6.3,12.6524,1.689,443.22,2892.51,3527.25,0.495856,-81.9713,102.49
6.32,12.6515,1.64768,442.597,2892.51,3527.19,0.495856,-81.9713,103.021
6.34,12.6515,1.57897,442.597,2892.47,3527.19,0.495856,-81.9713,103.552
6.36,12.6496,1.58805,279.706,2892.47,3341.14,0.495856,-81.9713,101.43
6.38,12.6496,1.58805,279.562,2892.56,3340.97,0.495856,-81.9713,99.306
6.4,12.6533,1.59885,320.652,2892.56,3340.97,0.495856,-81.9713,97.7124
6.42,12.6533,1.59886,320.688,2892.47,2773.25,0.495856,-81.9713,96.1193
6.44,12.6492,1.62598,320.688,2892.47,2772.76,0.495856,-81.9713,97.7097
6.46,12.6492,1.626,367.275,2892.47,1835.48,0.495856,-81.9713,100.364
6.48,12.6529,1.56345,367.315,2753.72,1834.68,0.495856,-81.9713,103.019
6.5,12.6529,1.5634,405.611,2753.6,1165.82,0.495856,-81.9713,102.491
6.52,12.6524,1.54886,405.644,2358.15,1165.25,0.500982,-81.9713,101.96
6.54,12.6524,1.54884,546.46,2357.81,1165.25,0.500986,-81.9713,102.49
6.56,12.6547,1.59063,546.581,2073.03,1197.83,1.30442,-73.4337,103.021
6.58,12.6547,1.57714,546.581,2072.78,1197.86,1.30513,-73.4262,103.552
6.6,12.6529,1.65234,816.157,2072.78,1399.76,1.30513,-73.4262,101.43
6.62,12.6529,1.64271,816.396,2020.72,1399.94,1.30513,-73.4262,99.306
6.64,12.6524,1.59894,1268.01,2020.67,1399.94,1.30513,-73.4262,100.896
6.66,12.6524,1.63956,1268.41,2324.93,1564.72,1.30513,-73.4262,102.489
6.68,12.6524,1.62895,2025.06,2325.2,1564.86,1.30513,-73.4262,101.96
6.7,12.6543,1.60221,2025.73,2617.03,1625.25,1.30513,-73.4262,101.429
6.72,12.6543,1.6891,2836.52,2617.29,1625.3,1.30513,-73.4262,102.489
6.74,12.6524,1.65598,2837.23,2617.29,1976.77,1.30513,-73.4262,103.551
6.76,12.6524,1.61819,2837.23,2892.22,1977.08,1.30513,-73.4262,104.614
6.78,12.6487,1.6193,2847.63,2892.47,1977.08,1.30513,-73.4262,106.737
6.8,12.6487,1.7145,2847.64,2892.51,2407.12,1.33124,-73.4262,108.861
6.82,12.645,1.73095,2849.34,2892.51,2407.5,1.33127,-73.4262,107.802
6.84,12.645,1.68702,2849.34,2892.47,3040.61,0.521395,-90.6248,106.74
6.86,12.6524,1.72972,2848.56,2892.47,3041.17,0.52068,-90.64,105.678
6.88,12.6524,1.72975,2848.56,2892.47,3526.76,0.52068,-90.64,103.554
6.9,12.6552,1.73758,2846.73,2892.51,3527.19,0.52068,-90.64,101.43
6.92,12.6552,1.73758,2846.72,2892.51,3527.25,0.52068,-90.64,99.8365
6.94,12.6543,1.7838,2846.72,2892.51,3527.25,0.52068,-90.64,98.2434
6.96,12.6543,1.78384,2842.24,2892.51,3527.25,0.52068,-90.64,100.895
6.98,12.6538,1.79859,2842.23,2892.47,3527.19,0.52068,-90.64,103.55
7,12.6538,1.7986,2832.34,2892.47,3527.19,0.52068,-90.64,103.022
7.02,12.6538,1.74367,2832.33,2892.51,3527.25,0.52068,-90.64,103.021
7.04,12.6538,1.74362,2815.88,2892.51,3527.25,0.52068,-90.64,103.021
7.06,12.6533,1.82291,2815.87,2892.51,3527.19,0.52068,-90.64,102.491
7.08,12.6533,1.79992,2815.87,2886.2,3527.19,0.572901,-90.64,101.96
7.1,12.6529,1.76586,2787.42,2886.2,3527.25,0.572947,-90.64,104.612
7.12,12.6529,1.8,2787.4,2625.23,3527.25,0.507712,-102.983,107.267
7.14,12.6529,1.7969,2739.21,2625,3527.25,0.507654,-102.994,105.147
7.16,12.651,1.77071,2739.17,2231.22,3527.13,0.507654,-102.994,103.023
7.18,12.651,1.70065,2673.57,2230.88,3527.13,0.507654,-102.994,100.899
7.2,12.6524,1.71324,2673.51,2230.88,3527.25,0.507654,-102.994,101.428
7.22,12.6524,1.7188,2673.51,1596.13,3527.25,0.507654,-102.994,101.959
7.24,12.6557,1.72007,2661.14,1595.57,3527.19,0.507654,-102.994,100.368
7.26,12.6557,1.7559,2661.13,1967.03,3527.19,0.507654,-102.994,98.7745
7.28,12.6538,1.73968,2782.29,1967.35,3527.19,0.507654,-102.994,97.7119
7.3,12.6538,1.77941,2782.4,1967.35,3527.25,0.507654,-102.994,96.6499
7.32,12.6543,1.79088,2803.75,2779.68,3527.25,0.507654,-102.994,95.5878
7.34,12.6543,1.79089,2803.77,2780.4,3527.19,0.0803381,-102.994,96.1174
7.36,12.6533,1.69192,2803.77,2698.22,3527.19,0.0799608,-102.994,96.6485
7.38,12.6533,1.69183,2814.39,2698.15,3527.25,0.0799608,-102.994,91.3432
7.4,12.6557,1.72122,2814.4,2622.55,3527.25,0.152613,-103.55,86.0329
7.42,12.6557,1.72125,2839.41,2622.49,3527.25,0.152677,-103.55,88.1504
7.44,12.6524,1.8076,2839.43,2582.86,3527.19,0.152677,-103.55,90.2746
7.46,12.6524,1.80767,2850.89,2582.83,3527.19,0.152677,-103.55,92.3988
7.48,12.6552,1.77643,2850.9,2582.83,3527.19,0.152677,-103.55,92.4006
7.5,12.6552,1.7764,2850.9,2597.63,3527.19,0.152677,-103.55,92.4006
