DEPT[M],WELL,CALIPER[MM],DEN[GM/CC],RES(64N),RES[OHM],SP[MV],GAM[API],LITHOLOGY DESCRIPTION,Formation,Classified
159.197,2,21.0028,2.31927,19.5408,51.9331,11.0073,105.578,Fine grained sandstone,Raniganj,Sandstone (SST)
161.097,2,21.0904,2.28071,21.005,54.1957,11.7762,101.429,Medium grained sandstone,Raniganj,Sandstone (SST)
165.597,2,20.0799,2.29723,21.6006,57.4473,9.95517,110.418,Medium grained Sandstone,Raniganj,Sandstone (SST)
167.297,2,19.4732,2.31204,18.808,52.9192,10.0563,113.875,Fine to medium grained sandstone ,Raniganj,Sandstone (SST)
167.517,2,19.4659,2.28114,19.266,54.1373,10.0159,89.6749,Shaly Sandstone,Raniganj,Sandstone (SST)
169.727,2,18.7742,2.32229,19.8146,56.2263,9.69213,178.179,Fine grained sandstone,Raniganj,Sandstone (SST)
169.897,2,18.6692,2.32722,20.181,54.5449,9.69213,153.978,Sandy Shale,Raniganj,ss
170.227,2,18.3872,2.34563,13.4084,51.7003,9.61119,145.681,Grey Shale,Raniganj,Grey Shale
170.437,2,18.2472,2.34417,9.33554,51.8178,9.30768,199.613,Dark grey shale,Raniganj,dgs
170.617,2,18.1063,2.26664,6.54417,46.3043,9.30768,223.813,Shaly coal ,Raniganj,coal
170.797,2,17.9929,2.06835,6.49827,50.3011,9.97541,209.985,Sandy shale,Raniganj,ss
171.017,2,17.8632,1.85201,5.85759,59.7662,10.4206,155.361,Grey Shale,Raniganj,Grey Shale
171.267,2,17.6573,1.93935,5.58274,54.7877,10.1575,176.104,Coaly Shale,Raniganj,Shale
171.387,2,17.5951,2.07502,5.67412,48.6267,10.3396,192.699,Grey Shale,Raniganj,Grey Shale
