Depth (m),LITHOLOGY DESCRIPTION,Formation,CLASSIFIED LITHOLOGY
646,Dark grey shale,Barren Measures,dgs
650.5,Dark grey shale,Barren Measures,dgs
654.27,"Dark grey shale, dotted sand particles",Barren Measures,dgs
654.77,Dark grey shale,Barren Measures,dgs
655,"Dark grey shale, dotted sand particles",Barren Measures,dgs
657,"Dark grey shale, dotted sand particles",Barren Measures,dgs
661.5,"Dark grey shale, dotted bands of sand particles",Barren Measures,dgs
666,"Dark grey shale, dotted sand particles",Barren Measures,dgs
670.5,"Dark grey shale, dotted sand particles",Barren Measures,dgs
675,Dark grey shale,Barren Measures,dgs
679.5,Dark grey shale,Barren Measures,dgs
684,Dark grey shale,Barren Measures,dgs
687.55,Dark grey shale,Barren Measures,dgs
